Episode,Worker,Cumulative Reward,RPS
221,0,-34.58079690592549,-0.23053864603950325
222,1,-18.899934834983743,-0.12599956556655828
223,2,-25.08752316436156,-0.16725015442907706
224,3,-30.329704893026506,-0.20219803262017672
225,0,-26.08188835148925,-0.173879255676595
226,1,-29.403448216489085,-0.19602298810992724
227,2,-26.49940759262552,-0.17666271728417013
228,3,-23.46741226890003,-0.1564494151260002
229,0,-34.735004274856145,-0.23156669516570763
230,1,-20.271924192093973,-0.13514616128062648
231,2,-29.795681323232944,-0.19863787548821962
232,3,-33.51721166627634,-0.22344807777517559
233,0,-33.508186930507684,-0.22338791287005122
234,1,-24.28885854261524,-0.16192572361743493
235,2,-24.920340097933494,-0.16613560065288996
236,3,-24.890272935927694,-0.16593515290618463
237,0,-26.24727695466132,-0.1749818463644088
238,1,-24.033998908012872,-0.16022665938675248
239,2,-30.11556763474029,-0.20077045089826862
240,3,-26.241717618485996,-0.17494478412323997
241,0,-28.523551302721543,-0.19015700868481028
242,1,-25.149079195368085,-0.16766052796912057
243,2,-22.463574250701214,-0.14975716167134143
244,3,-41.21017229292895,-0.27473448195285965
245,0,-33.71780370687701,-0.2247853580458467
246,1,-30.797865531976587,-0.2053191035465106
247,2,-31.727613303030893,-0.21151742202020596
248,3,-26.221567720704957,-0.1748104514713664
249,0,-34.40682026838228,-0.22937880178921521
250,1,-28.96086331224619,-0.19307242208164127
251,2,-26.35685812206401,-0.17571238748042675
252,3,-21.682930507138032,-0.14455287004758688
253,0,-30.07165456516711,-0.20047769710111404
254,1,-27.89656073836199,-0.18597707158907995
255,2,-30.36721251482654,-0.20244808343217693
256,3,-28.06470126279463,-0.1870980084186309
257,0,-23.365142551536326,-0.15576761701024217
258,1,-26.426521870892007,-0.17617681247261338
259,2,-25.417619426084958,-0.16945079617389971
260,3,-22.649368927562897,-0.1509957928504193
261,0,-37.599948317807616,-0.2506663221187174
262,1,9.852033188323116,9.852033188323116
263,2,-27.02088995755186,-0.18013926638367905
264,3,-31.577658215312976,-0.21051772143541983
265,0,-29.173930129784633,-0.19449286753189757
266,1,-33.08571395283397,-0.22057142635222646
267,2,-35.58502235785746,-0.2372334823857164
268,3,-32.667678309885474,-0.21778452206590315
269,0,-36.70706176827194,-0.24471374512181293
270,1,-27.645515316649703,-0.18430343544433136
271,2,-32.970247949162506,-0.2198016529944167
272,3,-32.12577446987989,-0.2141718297991993
273,0,-25.323882390317102,-0.168825882602114
274,1,-16.71632708686872,-0.1114421805791248
275,2,-23.863516710294586,-0.1590901114019639
276,3,-27.840506743054597,-0.18560337828703063
277,0,-21.099922370962105,-0.14066614913974737
278,1,9.875242993596897,9.875242993596897
279,2,9.851098673644708,9.851098673644708
280,3,-29.79606806875814,-0.19864045379172093
281,0,-39.07721102485184,-0.26051474016567894
282,1,9.85973245273487,9.85973245273487
283,2,-31.566429777704847,-0.21044286518469899
284,3,-21.668438190163744,-0.14445625460109163
285,0,-31.81898028818303,-0.21212653525455355
286,1,-25.709958639879723,-0.1713997242658648
287,2,-31.692477451154392,-0.21128318300769594
288,3,-22.913346028947807,-0.15275564019298538
289,0,-37.12304489517232,-0.24748696596781547
290,1,-30.533212782659945,-0.20355475188439964
291,2,-22.276263075487122,-0.14850842050324747
292,3,-26.521998847404728,-0.17681332564936486
293,0,-28.843308796803065,-0.19228872531202043
294,1,-26.044116635647637,-0.17362744423765092
295,2,-24.878152405592044,-0.16585434937061364
296,3,-31.372595175696112,-0.20915063450464075
297,0,-25.195495610415726,-0.16796997073610484
298,1,-37.60247396631733,-0.2506831597754489
299,2,9.860140675756753,9.860140675756753
300,3,-31.445421261378854,-0.2096361417425257
301,0,-34.572637089178755,-0.2304842472611917
302,1,-28.476899600012043,-0.18984599733341362
303,2,-29.064855114681766,-0.1937657007645451
304,3,-30.54057119861762,-0.20360380799078415
305,0,-25.08054717262944,-0.1672036478175296
306,1,-33.54430296773458,-0.22362868645156386
307,2,-33.99752953072622,-0.22665019687150811
308,3,-34.63009626607516,-0.23086730844050105
309,0,-28.07665855883056,-0.18717772372553707
310,1,-29.865165490375393,-0.1991011032691693
311,2,-27.464470545448354,-0.18309647030298903
312,3,9.872335160792868,9.872335160792868
313,0,-25.039284376037855,-0.16692856250691904
314,1,-16.452920737387732,-0.10968613824925155
315,2,-27.43009178653377,-0.18286727857689178
316,3,-31.55535762948133,-0.21036905086320887
317,0,-28.38830012740578,-0.1892553341827052
318,1,-31.056669367726112,-0.20704446245150743
319,2,9.849096997334845,9.849096997334845
320,3,-35.65420449658389,-0.2376946966438926
321,0,-20.080613294515445,-0.13387075529676962
322,1,-26.730792285874237,-0.17820528190582824
323,2,-25.632431706732813,-0.17088287804488542
324,3,-34.08338993880658,-0.22722259959204388
325,0,-33.20209232836317,-0.2213472821890878
326,1,-30.41830168027533,-0.20278867786850222
327,2,-23.83960730919401,-0.15893071539462675
328,3,9.87565217680045,9.87565217680045
329,0,-27.069269405811134,-0.1804617960387409
330,1,-13.906452613488318,-0.14953174853213244
331,2,-28.98735236542056,-0.1932490157694704
332,3,-38.61444558589491,-0.2574296372392994
333,0,-25.19875825691251,-0.16799172171275006
334,1,-25.144630948610953,-0.16763087299073967
335,2,-23.372066493095613,-0.15581377662063742
336,3,-23.441950546344383,-0.15627967030896256
337,0,-33.59023230567576,-0.22393488203783843
338,1,-36.03665246984524,-0.24024434979896825
339,2,-28.210619805899512,-0.18807079870599674
340,3,-22.579732942457202,-0.15053155294971468
341,0,-30.60254964118489,-0.20401699760789926
342,1,-35.15361480618677,-0.23435743204124515
343,2,-24.95015737144217,-0.16633438247628113
344,3,-29.600579760594695,-0.19733719840396463
345,0,-22.145066248771137,-0.14763377499180758
346,1,-29.16394947426032,-0.19442632982840213
347,2,-35.045478783448964,-0.23363652522299308
348,3,-31.79073292955034,-0.21193821953033562
349,0,-29.82346609897191,-0.1988231073264794
350,1,-28.121621124763813,-0.18747747416509208
351,2,-24.871395456723405,-0.1658093030448227
352,3,-31.944999039842873,-0.21296666026561917
353,0,-27.65196570676525,-0.18434643804510167
354,1,-28.07701043187549,-0.1871800695458366
355,2,-24.930833532444467,-0.16620555688296312
356,3,-33.526959590540855,-0.22351306393693904
357,0,-22.205576614024732,-0.14803717742683153
358,1,-26.30553004897639,-0.17537020032650927
359,2,-32.557922686609686,-0.21705281791073125
360,3,-31.94957177410926,-0.2129971451607284
361,0,-30.232955782417203,-0.20155303854944803
362,1,-24.423630793640594,-0.1628242052909373
363,2,-11.749001133352277,-0.07832667422234851
364,3,-24.159392286394063,-0.16106261524262708
365,0,-25.844111780189767,-0.17229407853459844
366,1,-28.18908522834476,-0.18792723485563173
367,2,-31.525783163699344,-0.21017188775799564
368,3,-29.49066394973832,-0.1966044263315888
369,0,-24.466191333953564,-0.16310794222635708
370,1,-31.301235067249312,-0.20867490044832876
371,2,9.854814244198876,9.854814244198876
372,3,-23.8252837157964,-0.15883522477197598
373,0,-22.101964598448145,-0.14734643065632097
374,1,-25.36060111313209,-0.16907067408754728
375,2,-30.043120219955497,-0.20028746813303666
376,3,-28.64200032240135,-0.190946668816009
377,0,-28.50541417327181,-0.19003609448847872
378,1,-28.39584486070732,-0.18930563240471548
379,2,-35.29628381797942,-0.23530855878652948
380,3,-17.937820976947158,-0.11958547317964772
381,0,-29.74092591279086,-0.19827283941860574
382,1,-16.331359176018807,-0.10887572784012538
383,2,5.250427359755464,0.1312606839938866
384,3,-25.44593930789952,-0.1696395953859968
385,0,-24.68602913916141,-0.16457352759440938
386,1,-22.73365974179675,-0.15155773161197833
387,2,-36.37269034473766,-0.24248460229825108
388,3,-25.80205383571294,-0.17201369223808627
389,0,9.849846074415701,9.849846074415701
390,1,-33.25021526014528,-0.22166810173430188
391,2,-38.893773058386984,-0.25929182038924653
392,3,-30.452311736541148,-0.20301541157694097
393,0,-32.01105208272699,-0.21340701388484662
394,1,-12.14313164258369,-0.08095421095055794
395,2,-28.40545309485755,-0.18936968729905032
396,3,-25.059320250576647,-0.16706213500384431
397,0,-24.181246999711906,-0.1612083133314127
398,1,-29.54976089820972,-0.19699840598806478
399,2,-29.872961020839885,-0.1991530734722659
400,3,-34.87438462291936,-0.23249589748612906
401,0,-26.77966483214264,-0.17853109888095092
402,1,-13.931261097699998,-0.18092546880129867
403,2,-25.788504984020786,-0.17192336656013857
404,3,-20.970893995581285,-0.1398059599705419
405,0,-23.408081264211514,-0.15605387509474342
