Episode,Worker,Cumulative Reward,RPS
198,0,-60.45697054895368,-0.20152323516317894
199,1,-62.604049214846306,-0.2086801640494877
200,2,-46.19980131528257,-0.15399933771760857
201,3,-68.95706486653403,-0.22985688288844675
202,0,-46.65577161444644,-0.15551923871482146
203,1,-12.901425818207782,-0.0573396703031457
204,2,-33.57598712265817,-0.22997251453875459
205,3,-57.60340073690293,-0.1920113357896764
206,0,-53.0298059804501,-0.17676601993483365
207,1,-63.479173036194375,-0.21159724345398126
208,2,9.86459349596611,9.86459349596611
209,3,-27.466409350963183,-0.1006095580621362
210,0,-59.56898214381933,-0.19856327381273112
211,1,-64.49677741506152,-0.21498925805020505
212,2,-57.81571178250943,-0.19271903927503145
213,3,-48.6830472831815,-0.16227682427727166
214,0,-65.00193108793016,-0.21667310362643386
215,1,-58.972122410948366,-0.1965737413698279
216,2,-61.43319368817614,-0.20477731229392046
217,3,-71.20053338055415,-0.23733511126851384
218,0,-70.44536089230834,-0.2348178696410278
219,1,-46.453723324513504,-0.154845744415045
220,2,9.855447975206188,9.855447975206188
221,3,-47.44331116016659,-0.15814437053388863
222,0,-19.85295844299528,-0.1240809902687205
223,1,-56.1155645248339,-0.18705188174944634
224,2,-52.00180707707782,-0.17333935692359273
225,3,-45.50789501518683,-0.15169298338395612
226,0,-44.99464181375693,-0.14998213937918975
227,1,-48.54344797748995,-0.16181149325829983
228,2,-55.487211438468314,-0.18495737146156105
229,3,-55.343144069482555,-0.18447714689827518
230,0,-53.84965262746336,-0.1794988420915445
231,1,-40.7190608605805,-0.13573020286860166
232,2,-63.249223499538495,-0.21083074499846166
233,3,-68.14246933963726,-0.22714156446545752
234,0,-44.40350840179093,-0.14801169467263645
235,1,-68.42210692784504,-0.22807368975948344
236,2,-51.426293522036744,-0.17142097840678916
237,3,-66.07885838539596,-0.2202628612846532
238,0,-82.37640813694762,-0.2745880271231587
239,1,-43.37904465590749,-0.14459681551969164
240,2,-54.64383068935485,-0.1821461022978495
241,3,-57.01314749219867,-0.19004382497399555
242,0,-53.556517123658935,-0.17852172374552977
243,1,-52.65539913537731,-0.17551799711792437
244,2,-85.11196288147354,-0.28370654293824515
245,3,-49.885733421184966,-0.16628577807061656
246,0,-46.44214683929645,-0.15480715613098817
247,1,-79.13331484789263,-0.26377771615964213
248,2,-49.32757373983757,-0.16442524579945855
